Aal;tripsk;'tripsk;
Einweisung;elmókoshem;;
einwenden;elmjerxell;;
einzäunen;elmdírîmell;;
Einzel;xawl;;
Einzelheit;xawlk;;
Einzelkind;xawlenímek;;
einzeln;xawlt;;
einziehen;elmwunashell;;
einzig;elmt;;
einzigartig;elmtqasht;;
Einzug;elmwunchr;;
Eis;kawlash;;
Eisbär;kawlashchopsk;;
Eisberg;kawlashjoun;;
Eisen;awk;;
Eishöhle;kawlashlîrash;;
Eiweiß;riashtrelsp;;
Ekel;relchr;;
ekelhaft;relchrfrált;;
ekeln;relchrell;;
Elefant;psilsk;;
elegant;cenlasht;;
Eleganz;cenlash;;
Elektronik;tîbrash;;
Element;ulchoil;;
Elend;troispash;;
elf;édauld;;
elf;hîp;'hîp;
eliminieren;chulchell;;
Eliminierung;chulchem;;
Eltern;jialkes;;
Elternzeit;jialkeslouk;;
Emotion;féroil;;
emotional;féroilt;;
Empfang;turnish;;
empfangen;turnishell;;
Empfänger;turnishrol;;
empfehlen;fenishell;;
Empfehlung;fenishem;;
empfinden;tîroshell;;
empfindlich;tîrosht;;
Ende;cúmchr;;
enden;cúmchrell;;
endlich;cúmtiont;;
Endlichkeit;cúmtion;;
endlos;cúmchrlept;;
Endstation;cúmchrmeyx;;
Endung;cúmchrem;;
Energie;cîtion;;
eng;goutiont;;
Engagement;dopschr;;
engagieren;dopschrell;;
Engel;dewmek;;
engstirnig;goutiontprîpt;;
Enkel;kríker;;
Enkelin;kríkin;;
enorm;greyblt;;
entbinden;oumrauchrell;;
Entbindung;oumrauchrem;;
entblößen;oumrufashell;;
entdecken;oumbouldell;;
Entdecker;oumboulder;;
Entdeckung;oumbouldem;;
Ente;drelin;;
enteignen;oumpeyrolmell;;
Enteignung;oumpeyrolmem;;
Enten;drels;;
enterben;oumkormoshell;;
entfachen;oumrawlell;;
entfernen;oumgáchell;;
entfernt;oumgáchat;;
Entfernung;oumgáchem;;
entfleuchen;oumgospershell;oum.'gos.per.shell;
entführen;oumrutchell;;
Entführung;oumrutchem;;
entgegen;oummíp;;
entgleiten;oumkoptionell;;
enthalten;oummashell;;
Enthaltung;oummashem;;
enthaupten;oumbloukell;;
Enthauptung;oumbloukem;;
enthüllen;oumnectionell;;
entkräften;oumspînell;;
entladen;oumelchrell;;
entlang;oumkîschrt;;
entlassen;oumhoulashell;;
Entlassung;oumhoulashem;;
entlaufen;oumdorchrat;;
entlaufen;oumdorchrell;;
entledigen;oumkefroilell;;
entmachten;oumvewlell;;
entrümpeln;oumlismell;;
Entrümpelung;oumlismem;;
entschädigen;oumbesnashell;;
Entschädigung;oumbesnashem;;
entschärfen;oumkuschrell;;
Entschärfung;oumkuschrem;;
entscheiden;oumtrolmell;;
Entscheidung;oumtrolmem;;
entschließen;oumchulmell;;
Entschluss;oumchulk;;
entschlüsseln;oumnîbashell;;
entschuldigen;oumroizerrashell;;
Entschuldigung;oumroizerrashem;;
Entsetzen;oumwinash;;
entsetzlich;oumwinasht;;
entsichern;oumjorxell;;
entsorgen;oumspektashell;;
Entsorgung;oumspektashem;;
entspannen;oumtelashell;;
Entspannung;oumtelashem;;
entsprechen;oumrelkell;;
entsprechend;oumrelkellp;;
entstehen;oumontionell;;
Entstehung;oumontionem;;
entstellen;oumpurchell;;
Entstellung;oumpurchem;;
enttäuschen;oumhoukchell;;
Enttäuschung;oumhoukchem;;
Entwarnung;oumshulashem;;
entweder;oumhoul;;
entweihen;oumtawtashell;;
entwenden;oumjerxell;;
entwickeln;oumlumchell;;
Entwickler;oumlumchap;oum.lum.chap;
Entwicklung;oumlumchem;;
entziehen;oumwunashell;;
Entziehung;oumwunashem;;
Entzückung;oumremtionem;;
Entzug;oumwunchr;;
entzünden;oumgeymchrell;;
Entzündung;oumgeymchrem;;
epileptisch;bransgoilt;;
er;ey;;
Erachten;awbdourash;;
erachten;awbdourashell;;
erbauen;awbdoujell;;
Erbauer;awbdoujer;;
Erbe;kormosh;;
erben;kormoshell;;
erbeuten;awbguchrell;;
Erbgut;kormoshdistion;;
erblinden;awbtintionell;;
erbost;awbkurschrat;;
Erbse;konroi;;
Erdbeben;spuftruk;;
Erdbeere;srîk;;
Erde;spuf;;
erden;spufell;;
Erderwärmung;spufawbchawdretchem;;
erdig;spuft;;
Erdkabel;spufnîleych;;
Erdkern;spufdunash;;
Erdkugel;spufchelûk;;
erdrosseln;awbcikchrell;;
ereignen;awbpeyrolmell;;
Ereignis;awbpeyrolm;;
ereilen;awbpereshell;;
erfahren;awbkurchell;;
Erfahrung;awbkurchem;;
erfinden;awbmeymell;;
Erfinder;awbmeymek;;
Erfindung;awbmeymem;;
Erfolg;awbchtash;;
erfolgen;awbchtashell;;
erfolgreich;awbchtashnotcht;;
erforderlich;awbkialsht;;
erforschen;awbdeskashell;;
erfrieren;awbpouvell;;
Erfrierung;awbpouvem;;
erfrischen;awbnúmell;;
Erfrischung;awbnúmem;;
erfüllen;awbamtionell;;
Erfüllung;awbamtionem;;
ergänzen;awbtoulchuchrell;awb.toul.'chuch.rell;
Ergänzung;awbtoulchuchrem;awb.toul.'chu.chrem;
ergeben;awbinchrell;;
Ergebnis;awbinchr;;
ergötzen;awbhupashell;;
ergreifen;awbtrelchell;;
ergreifend;awbtrelchellp;;
erhalten;awbmashell;;
erheben;awbsîmchell;;
erheblich;awbsîmcht;;
Erhebung;awbsîmchem;;
erhitzen;awbasplaxell;;
erhöhen;awbkronell;;
Erhöhung;awbkronem;;
erinnern;spîerchell;;
Erinnerung;spîerchem;;
erkälten;awbsplîfell;;
Erkältung;awbsplîfem;;
erkämpfen;awbcroshell;;
erkennbar;awbreychfe^chtiont;;
erkennen;awbreychell;;
Erkenntnis;awbreychroil;;
Erkennung;awbreychem;;
erklären;awbropchrell;;
Erklärung;awbropchrem;;
erkranken;awbcploishell;;
erkunden;awbhîtrishell;;
erlauben;bileyxell;;
Erlaubnis;bileyx;;
erleben;awbgurmell;;
Erlebnis;awbgurm;;
erledigen;awbkefroilell;;
erledigt;awbkefroilat;awb.kef.'roi.lat;
erlegen;awbeschell;;
erleichtern;awbkrouashell;;
Erleichterung;awbkrouashem;;
erlösen;awbgautionell;;
Erlösung;awbgautionem;;
ermitteln;awbpawstionell;;
Ermittler;awbpawstioner;;
Ermittlung;awbpawstionem;;
ermöglichen;awbtrialchell;;
ermorden;awbkotchell;;
ermüden;awbnawchell;;
ernähren;awbgrîmell;;
Ernährung;awbgrîmem;;
erneuen;awbfrílell;;
erneuern;awbfrílell;;
Erneuerung;awbfrílem;;
erneut;awbfrílt;;
Erneuung;awbfrílem;;
ernst;jelkt;;
ernsthaft;jelkfrált;;
Ernte;frîchr;;
ernten;frîchrell;;
Eroberer;roimpsher;;
erobern;roimpshell;;
Eroberung;roimpshem;;
eroberungswillig;roimpshemhrít;;
eröffnen;awbchurlell;;
Eröffnung;awbchurlem;;
Erotik;qîril;;
erotisch;qîrilt;;
erpressen;awb^jutchell;;
Erpressung;awb^jutchem;;
erraten;awbtraptionell;;
erregen;awbtroilpell;;
Erregung;awbtroilpem;;
erreichen;awbleschell;;
erringen;awbtormashell;;
erröten;awbkroilell;;
Errungenschaft;awbtormash;;
Ersatz;awbwinash;;
erschaffen;awbturchell;;
erscheinen;awbyévalashell;;
Erscheinung;awbyévalashem;;
erschießen;awbchûlell;;
erschöpft;awbdrálashat;;
Erschöpfung;awbdrálashem;;
erschrecken;awbéfratchell;;
erschüttern;belroilell;;
Erschütterung;belroilem;;
erschweren;awbkrouchrell;;
ersetzen;awbwinashell;;
ersparen;awbawlchrell;;
erspielen;awbfeychell;;
erst;strup;;
erstarren;awbkîlell;;
erstatten;awbsoilell;;
erste;dauldc;;
erstellen;awbpurchell;;
erstens;dauldit;'daul.dit;
ersticken;awbosrolmell;;
Erstickung;awbosrolmem;;
erstrahlen;awbchapashell;;
ertappen;awbmurmîell;;
erteilen;awbächrell;;
ertönen;awbbrulshell;;
ertragen;awbwitchell;;
erträglich;awbwitcht;;
ertränken;awblischrell;;
erwähnen;awbblúrell;;
erwärmen;awbchawdretchell;;
Erwärmung;awbchawdretchem;;
erwarten;awbtrevashell;;
Erwartung;awbtrevashem;;
erwecken;awbdotchell;;
erweiterbar;awbérashfe^chtiont;;
erweitern;awbérashell;;
Erweiterung;awbérashem;;
erwidern;awbtextionell;;
Erwiderung;awbtextionem;;
erwischen;awbvolchrell;awb.'vol.chrell;
erwürgen;awbholshell;;
Erz;yímosh;;
erzählen;awbsretchell;;
erzeugen;awbtratchell;;
Erzeuger;awbtratchap;;
Erzeugung;awbtratchem;;
erziehen;awbwunashell;;
Erziehung;awbwunashem;;
Erziehungsberechtigter;awbwunashemsonnspillok;;
erzielen;awbbashell;;
erzürnen;awbalqashnell;;
es;ur;;
es;urf;;
Esel;umenesk;;
Eskalation;cefrolm;;
eskalieren;cefrolmell;;
essbar;spawlfe^chtiont;;
Essen;spawl;;
essen;spawlell;;
Essig;nîpiam;;
Etage;rauch;;
Ethik;raunchr;;
ethisch;raunchrt;;
Etikett;spould;'spould;
etikettieren;spouldell;'spoul.dell;
Etikettierung;spouldem;'spoul.dem;
etwas;pouj;;
euch;tawf;;
euch;tawm;;
euer;tawp;;
Eule;vîolsk;;
eurerseits;tawptewtiont;;
evakuieren;potrashell;;
Evakuierung;potrashem;;
eventuell;gûlemt;;
ewig;kûlroilt;;
Ewigkeit;kûlroil;;
exakt;krilpt;;
Exfreundin;reyscinmin;;
existent;cumroilt;;
Existenz;cumroil;;
existieren;cumroilell;;
Experiment;lewchr;;
experimentieren;lewchrell;;
Experte;hîfchap;;
explodieren;reyspnutchell;;
Explosion;reyspnutch;;
Export;reyskialk;;
exportieren;reyskialkell;;
extensiv;forkt;;
extern;reysraulasht;;
extra;spenc;;
extrem;nîrilt;;
Fabrik;donchref;;
fabrizieren;donchrell;;
Fach;kofk;'kofk;
Fackel;párolm;;
Faden;ralosh;;
fähig;ûtcht;;
Fähigkeit;ûtch;;
fahnden;meskúlashell;;
Fahndung;meskúlashem;;
Fähre;kurchrolk;'kurch.rolk;
fahren;kurchell;;
Fahrer;kurchap;;
Fahrrad;kurchrechr;;
Fahrradwerkstatt;kurchrechrkrílonmauk;;
Fahrschule;kurchmölon;'kurch.mö.lon;
Fahrt;kurtion;;
Fahrtrichtung;kurtionreyxem;;
Fahrweise;kurchrélt;;
Fahrzeug;kurchrolk;'kurch.rolk;
fair;rilasht;;
Fakir;bulsher;;
Faktor;rustion;;
Falke;jícesk;;
Fall;plîx;;
Falle;plîxtion;;
fällen;plîxashell;;
fallen;plîxell;;
fallend;plîxellp;;
fällig;smîtiont;;
Fälligkeit;smîtion;;
falls;plîxt;;
Fallschirm;plîxârkoil;;
Falltür;plîxleftouk;;
Fällung;plîxashem;;
falsch;murcht;;
fälschen;murchell;;
Fälscher;murchap;;
Fälschung;murchem;;
Falte;tialchr;;
falten;tialchrell;;
fältig;yasht;;
familiär;dârt;;
Familie;dár;;
Fan;grolmer;;
Fanatiker;cresher;;
fanatisch;cresht;;
Fanatismus;cresh;;
Fang;klesch;;
fangen;kleschell;;
Fänger;kleschap;;
Farbe;murmash;;
färben;murmell;;
farbig;murmasht;;
Färbung;murmem;;
Faser;wîrosh;;
Fass;hoip;;
Fassade;nîk;;
fassbar;dírímfe^chtiont;;
fassen;dírímell;;
Fassung;dírímem;;
fast;weft;;
fasten;kretershell;;
Fastenzeit;kretershlouk;;
Faszination;roul;;
faszinieren;roulell;;
faszinierend;roulellp;;
fatal;crîchrt;;
fauchen;krektionell;;
faul;linchrt;;
faulen;linchrell;;
faulend;linchrellp;;
Faust;ronk;;
favorisieren;beldrawchell;;
Favorit;beldrawchap;;
Fazit;banemep;;
Februar;beltref;;
fechten;krîchrell;;
Feder;zilron;;
federleicht;zilronkrouasht;;
Federung;zilronem;;
Fee;limnin;;
Feenkönigin;limntílin;;
Feenreich;limnlesch;;
fegen;koroilell;;v
Fehde;usruk;;
Fehleinschätzung;strashkelmtimbroshem;;
fehlen;murcell;;
Fehler;strash;;
Fehlstart;strashkchpash;;
Fehlverhalten;strashkjawsmash;;
Feier;lúm;;
feiern;lúmell;;
Feige;ceplod;;
feige;shiltiont;;
Feigheit;shiltion;;
Feile;nemash;;
feilen;nemashell;;
feilschen;klisrell;;
fein;altiont;;
Feind;wesrolmer;;
feindlich;wesrolmt;;
Feindschaft;wesrolm;;
Feld;rurx;;
Feldmaus;rurxionol;;
Felge;gilrau;'gil.rau;
Fels;moritch;;
Fenster;lîmtion;;
Fensterscheibe;lîmtionpurlol;;
Ferien;náls;;
fern;gácht;;
Fernbedienung;gáchäusonnrialchrem;;
Ferne;gách;;
fernsehen;gárashell;;
Fernseher;gárashol;;
Fernwartung;gáchäuköperrashem;;
fertig;spasht;;
fertigen;spashell;;
Fertigung;spashem;;
Fessel;chutash;;
fesseln;chutashell;;
Fest;lúm;;
fest;prasht;;
festhalten;prashtmashell;;
festigen;prashell;;
Festigkeit;prash;;
festlegen;prashteschell;;
Fett;fpresh;;
fett;fpresht;;
fettig;fpresht;;
feucht;brolasht;;
Feuchtigkeit;brolash;;
Feuer;blatch;;
feuern;blatchell;;
Feuersalamander;blatchgimprísk;;
Feuerteufel;blatchknasher;;
Feuerwehr;blatchrîrash;;
Fick;nution;;
ficken;nutionell;;
Fieber;ninglor;;
fies;shault;;
Figur;slash;;
Filet;nawpril;;
filigran;nilrisht;;
Film;bulchr;;
filmen;bulchrell;;
Filter;klúl;;
filtern;klúlell;;
Finale;wesch;;
Finalist;weschap;;
finden;meymell;;
findig;meymt;;
Finger;emron;;
Fingerabdruck;emronqäploich;;
Fingernagel;emronlawk;;
finster;blotcht;;
Finsternis;blotch;;
Firma;spîperch;;
Fisch;drepsk;;
Fische;dreps;;
fischen;drepashell;;
fit;wítiont;;
fixieren;nîctionell;;
Fixierung;nîctionem;;
flach;hawchrt;;
Fläche;hawchr;;
Flagge;aptash;;
Flamme;stichr;;
Flasche;undef;;
Flaschenpost;undefosjî;;
flattern;dínawxell;dí.'naw.xell;
Fleck;nalsh;;
Fledermaus;roilingsk;;
flehen;silrawlshell;;
Fleisch;closh;;
Fleischer;closher;;
Fleischerei;closhtrásp;;
Fleiß;zinchr;;
fleißig;zinchrt;;
flexibel;blopt;;
Flexibilität;blop;;
Fliege;awchr;;
Fliege;awchr;;
Fliege;awchrin;;
Fliege;awchrsk;;
fliegen;awtionell;;
Fliese;kómortion;;
fliesen;kómortionell;;
fließen;kromtionell;;
flink;drúlt;;
Flocke;fektion;;
Floh;memsk;;
Flohsamenschale;memkoltionbelmention;;
Floß;prímitch;;
Flöte;jílol;;
Flotte;nunk;;
Fluch;qoum;;
fluchen;qoumell;;
Flucht;centrolm;;
flüchten;centrolmell;;
Flug;awtion;;
Flugangst;awtionqíz;;
Flugbahn;awtionulrash;;
Flügel;komtion;;
Flugzeug;awtionrolk;;
Fluss;kromtion;;
flüssig;pilasht;;
Flüssigkeit;pilash;;
flüstern;brevell;;
Flut;grîp;;
fluten;grîpell;;
Flutwelle;grîpchîerch;;
Föhn;wen;;
föhnen;wenell;;
Fokus;lish;'lish;
fokussieren;lishell;;
Fokussierung;lishem;;
Folge;chtash;;
folgen;chtashell;;
folgend;chtashellp;;
Folie;relrem;;
Folter;kushroil;;
foltern;kushroilell;;
Fön;bespash;;
Fonds;îstil;;
fönen;bespashell;;
Fontäne;kialerrún;;
fordern;kialshell;;
fördern;kinrolmell;;
Forderung;kialshem;;
Förderung;kinrolmem;;
Form;catch;;
Format;chunash;;
Formation;kaurolm;;
Formel;cachrron;;
formen;catchell;;
formieren;kaurolmell;;
formulieren;cationell;;
Formulierung;cationem;;
forschen;deskashell;;
Forscher;deskasher;;
Forschung;deskashem;;
fort;nex;;
Fortschritt;nexdorftion;;
Fortsetzung;nexwinashem;;
Forum;kokrop;;
Foto;trík;;
Fotograf;tríker;;
fotografieren;tríkell;;
Fotze;flotch;;
Foul;knush;;
Fracht;prilch;;
Frachtraum;prilchdewl;;
Frage;mítion;;
Fragebogen;mítiontuk;;
fragen;mítionell;;
Fragezeichen;mítionkrál;;
Fraktion;ebshem;;
fräsen;mutrashell;;
Fraß;strox;;
Fratze;cerof;;
Frau;eylin;;
frech;droglt;;
Frechheit;drogl;;
frei;loucht;;
Freigabe;louchtinchrír;;
Freiheit;louchem;'lou.chem;
freiheitlich;louchrt;;
Freitag;fîx;;
freiwillig;louchthrít;;
Freiwilliger;louchthríek;;
Freizeit;louchtlouk;;
fremd;ríyútiont;;
fremdartig;ríyútiontqasht;;
Fremde;ríyútioner;;
Frequenz;délash;;
fressen;stroxell;;
Fressfeind;stroxwesrolmer;;
Fressnapf;stroxtil^ch;;
Freude;staltion;;
freudig;staltiont;;
freuen;staltionell;;
Freund;cinmek;;
Freundin;cinmin;;
freundlich;cinmasht;;
Freundlichkeit;cinmash;;
Freundschaft;cinm;;
Frieden;nílín;;
Friedhof;klulch;;
friedlich;nílínt;;
frieren;pouvell;;
frisch;númt;;
Frische;númt;;
Frisör;sisclok;;
Frist;wapash;;
fristlos;wapashlept;;
Frisur;sisc;;
froh;kawwept;;
fröhlich;kewqasht;;
Front;brash;;
Frosch;plosk;;
Frucht;getash;;
fruchtbar;getashfe^chtiont;;
Fruchtbarkeit;getashfe^chtion;;
fruchtig;getasht;;
früh;dext;;
Früh;dext;;
Frühe;dext;;
früher;dextem;;
frühestens;dextest;;
Frühling;wîmp;;
Frühstück;clou^tion;;
frühstücken;clou^tionell;;
frühzeitig;dextloukt;;
Fuchs;ltîsk;;
fügen;sprurmell;;
fühlen;trilell;;
führen;rutchell;;
Führer;rutchap;;
Führung;rutchem;;
Fülle;amtion;;
füllen;amtionell;;
Füllung;amtionem;;
Fund;meym;;
fünf;íl;;
fünfzehn;éíl;;
fünfzig;íler;;
Funk;tultash;;
funkeln;konosshell;;
funkelnd;konosshellp;;
funken;tultashell;;
Funkgerät;tultashsolm;;
Funkstation;tultashmeyx;;
Funktion;caption;;
funktionieren;captionell;;
für;noum;;
Furcht;qilm;;
furchtbar;qilmfe^chtiont;;
fürchten;qilmell;;
fürchterlich;qilmt;;
furchterregend;qilmawbtroilpellp;;
furchtlos;qilmlept;;
füreinander;noumelmglamt;;
Furie;konoshin;;
furios;konosht;;
Furz;brumsh;;
furzen;brumshell;;
Fuß;welp;;
Fußball;welpkroup;;
Fußgänger;welporschrer;;
Fußgängerampel;welporschreslák;;
Fußgängerzone;welporschrescosrik;;
Futter;deschr;;
Futter;tírolm;;
füttern;destionell;;
Fütterung;destionem;;
Gabe;inchrír;;
Gabel;fortuktion;;
Gabelstapler;fortuktionjilashrolk;;
gaffen;plurtionell;;
Gaffer;plurtioner;;
gähnen;kralashell;;
galaktisch;fosproilt;;
Galaxie;fosproil;;
Galerie;juxp;;
gammeln;jetionell;;
Gang;orschr;;
gängig;orschrt;;
Gans;blisk;;
ganz;toulchup;;
gar;tîlf;;
Garage;slul;;
Garantie;cleptosh;;
garantieren;cleptoshell;;
Garde;rumchr;;
Garderobe;pîon;;
Gardine;kékew;'ké.kew;
garstig;vouperromt;;
Garten;álchr;;o
Gärtner;álchrer;;
Gas;turok;;
Gast;chirek;;
gastfreundlich;chirekcinmasht;;
Gastfreundschaft;chirekcinm;;
Gattung;rúmchrem;;
Gebäck;krunhorl;;
gebähren;relxell;;
Gebälk;kruntrostion;;
Gebärde;murerbash;;
Gebäude;krundouj;;
gebefreudig;inchrstaltiont;;
Gebelaune;inchrchelol;;
Gebell;príkoil;;
geben;inchrell;;
Gebet;lorn;;
Gebiet;barash;;
gebieten;krunturlell;;
Gebiss;krunrötch;;
geboren;relxat;;
Gebot;turlír;;
Gebrauch;krunwestion;;
gebrauchen;krunwestionell;;
gebraucht;krunwestiont;;
gebraucht;westionat;;
Gebrauchtwagen;krunwestiontfintion;;
Gebrüll;kruncration;;
Gebühr;pulx;;
gebührenfrei;pulxesloucht;;
Geburt;relx;;
gebürtig;relxt;;
Geburtsdatum;relxroik;;
Geburtstag;relxroution;;
Gedächtnis;wenchef;'wen.chef;
Gedanke;wenchr;;
gedankenlos;wenchreslept;;
Gedeck;krunbould;;
gedeihen;shüterroilell;;
gedenken;krunwenchell;krun.'wen.chell;
Gedränge;krunmelchr;;
Gedrängel;krunútion;;
Geduld;greychr;;
geduldig;greychrt;;
geeignet;peyrolmat;;
Gefahr;kution;;
gefährden;kutchell;;
Gefährdung;kutchem;;
gefährlich;kutionasht;;
Gefährlichkeit;kutionash;;
Gefallen;krunplîx;'krun.plîx;
gefallen;krunplîxell;krun.'plî.xell;
gefällig;krunplîxasht;krun.'plî.xasht;
Gefälligkeit;krunplîxash;krun.'plî.xash;
gefälligst;krunplîxashtes;krun.'plî.xash.tes;
Gefangenschaft;krunklesch;;
Gefängnis;kleschash;;
Gefühl;kruntril;;
gegebenenfalls;inchratplîxt;;
gegen;míp;;
Gegend;kríalc;;
Gegenstand;dosrok;'dos.rok;
gegenüber;mípnop;;
Gegenwind;mípälox;;
Gegner;opchrer;;
gegnerisch;opchrt;;
Gegrunze;pixchr;;
Gehege;krunmelosh;;
geheim;pelotcht;;
Geheimhaltung;pelotchtmashem;;
Geheimnis;pelotch;;
geheimnisvoll;pelotchbít;;
gehen;orstionell;;
geheuer;grícht;;
Gehirn;krunkilk;;
Gehör;krundílash;;
gehorchen;krunesplishell;krun.'es.pli.shell;
gehören;krundílashell;;
Gehweg;orstionprurk;;
geifern;plesrell;;
Geige;atlosh;;
geil;mîltiont;;
Geilheit;mîltion;;
Geisel;chof;;
Geist;brosh;;
geistesgestört;broshmalikat;;
geisteskrank;broshcploisht;;
geistreich;broshnotcht;;
Geiz;cîmp;;
geizen;cîmpell;;
Gel;comp;;
Gelände;wîsh;;
gelangen;krunqelshell;;
Gelb;elsp;;
Geld;chîlch;;
Gelegenheit;konratch;;
Gelenk;krunban;;
gelingen;imenell;;
gelten;îlashell;;
Geltung;îlashem;;
Gelübde;komp;;
gemein;drasht;;
Gemeinheit;drash;;
gemeinsam;noratcht;;
Gemeinsamkeit;noratch;;
Gemeinschaft;noration;;
gemeinschaftlich;norationt;;
Gemüse;nîshem;;
Gemüt;felx;;
gemütlich;felxt;;
Gemütlichkeit;felxem;;
Gen;qop;;
genau;vougasht;;
Genauigkeit;vougash;;
genehm;kuproilt;;
genehmigen;kuproilell;;
Genehmigung;kuproilem;;
Generation;esshouk;;
generieren;esshouchrell;;
Generierung;esshouchrem;;
genesen;tesprell;;
Genesung;tesprem;;
Genetik;qoption;;
genetisch;qoptiont;;
genial;yúlusht;;
Genialität;yúlush;;
genieren;motrashell;;
genießen;jenchell;;
genug;voroilt;;
genügen;voroilell;;
Genuss;jench;;
Gepäck;krunrîlash;;
Gepard;chîropsk;;
gerade;tîft;;
geradeaus;tîfttorf;;
Gerät;solm;;
geraten;korvrell;;
Geräusch;tár;;
gerecht;sîasht;;
Gerechtigkeit;sîash;;
Gerede;krunrálk;;
Gericht;krunreyx;;
gern;pîpt;;
gerne;pîpt;;
Geruch;naptash;;
Gerücht;tálol;;
gesamt;hurcht;;
Gesamtheit;hurch;;
Gesang;krunchöl;;
Geschäft;nolrash;;
geschäftlich;nolrasht;;
geschätzt;timbroshat;;
geschehen;cetritchell;;
Geschehnis;cetritch;;
Geschenk;krunkolmeyx;;
Geschichte;menc;;
Geschicklichkeit;menchr;;
geschickt;menchrt;;
Geschirr;nilk;;
Geschirrspüler;nilkdiationrol;;
Geschirrspülmaschine;nilkdiationblurch;;
Geschmack;lond;;
geschmackvoll;londbít;;
geschmeidig;klírolmt;;
Geschmeidigkeit;klírolm;;
geschnitten;voumat;;
Geschrei;krunmaskam;;
Geschwätz;zínerrash;;
Geschwindigkeit;qilsh;;
Geselle;mîmtioner;;
gesellig;mîmtiont;;
Gesellschaft;mîmtion;;
Gesetz;roichr;;
Gesetzgeber;roichrinchrer;;
Gesetzgebung;roichrinchrem;;
Gesicht;prauc;;
Gespräch;krunrelk;;
Gespür;fîption;;
Gestalt;chru´ch;;
gestalten;chru´chell;;
Gestaltung;chru´chem;;
geständig;krunonchrrasht;;
Geständnis;krunonchrem;;
Gestank;krunplelp;'krun.plelp;
gestehen;krunontionell;;
gestern;kroux;;
gestört;malikat;;
gestreift;bolkashat;;
gestrig;krouxt;;
gesund;lawtiont;;
Gesundheit;lawtion;;
Getränk;sîstion;;
Getreide;kösqor;;
Gewalt;prorch;;
gewaltig;prorcht;;
gewalttätig;prorchminmt;;
Gewebe;krunkripsh;;
Gewehr;klîril;;
Gewicht;kilchr;;
gewichten;kilchrell;;
Gewichtung;kilchrem;;
Gewinde;krunblároil;krun.'blá.roil;
Gewinn;îsch;;
gewinnen;îschell;;
Gewinner;îschap;;
Gewinnspiel;îschfeych;'îsch.feych;
gewiss;îtashp;;
Gewissen;îtash;;
gewissenhaft;îtashfrált;;
gewöhnen;nîchrell;;
gewöhnlich;nîchrt;;
Gewöhnung;nîchrem;;
Gewürz;krunbelton;;
Gezwitscher;roxrash;;
Gier;roumî;;
gierig;roumît;;
gießen;murvestionell;;
Gießkanne;murvestionblîk;mur.'ves.tion.blîk;
Gift;flashtion;;
giftig;flashtiont;;
gigantisch;ceproilt;;
Gipfel;trevosh;;
Giraffe;krikewsk;;
Gitarre;kialon;;
Gitarrist;kialoner;;
Gitter;xash;;
Gitterstab;xashjoumon;;
Glanz;kromsh;;
glänzen;kromshell;;
Glas;xelex;;
glasig;xelext;;
glatt;tárilt;;
glätten;tárilell;;
Glatze;^chechr;;
Glaube;sench;;
glauben;senchell;;
gläubig;sentiont;;
Gläubigkeit;sention;;
glaublich;sencht;;
gleich;delvn;;
gleiche;delvn;;
gleichen;delvnchrell;;
gleicher;delvn;;
gleiches;delvn;;
Gleichgewicht;delvnkilchr;;
gleichgültig;delvnzîcht;;
Gleichheit;delvnchr;;
Gleichung;delvnchrem;;
gleichzeitig;delvnloukt;;
gleiten;koptionell;;
Glied;kensh;;
glitzern;traxpell;;
global;fextiont;;
globalisieren;fextionell;;
Globalisierung;fextionem;;
Globus;fextion;;
Glocke;sîberrash;;
glorreich;kipashnotcht;;
glotzen;shíroilell;;
Glotzer;shíroiler;;
Glück;emtosh;;
glücken;emtoshell;;
glücklich;emtosht;;
Glücksbringer;emtoshtanef;;
Glücksspiel;emtoshfeych;'em.tosh.feych;
Glückwunsch;emtoshgalm;;
glühen;dauchell;;
Glut;kekrof;;
Gnade;skorch;;
gnadenlos;skorchlept;;
Gold;skul;;
gold;skulsp;;
Golf;cirash;;
golfen;cirashell;;
Gong;eystion;;
gongen;eystionell;;
gönnen;terashell;;
Gönner;terasher;;
Gott;îcer;;
Gottesanbeterin;turlîsk;;
Göttin;îcin;;
Grab;prilrash;;
Graben;prilroil;;
graben;prilroilell;;
Grad;dlún;;
Grafik;vulp;;
Grafiker;vulper;;
grafisch;vulpt;;
Gramm;tîk;;
Granate;bouk;;
grandios;tawkasht;;
Grapefruit;kolrî;;
Gras;kley^tion;;
grasen;kley^tionell;;
Grashüpfer;kley^tionkeskashsk;;
Gräte;reyhawk;;
gratis;asturpt;;
gratulieren;belashell;;
grau;lensp;;
Graus;koulash;;
grausam;koulerrasht;;
Grausamkeit;koulerrash;;
grausen;koulashell;;
grausig;koulasht;;
Grauzone;lenspcosrik;;
gravieren;kemroilell;;
gravierend;kemroilellp;;
Gravitation;splinsh;;
Gravur;kemroil;;
Greifarm;trelchelsh;;
greifbar;trelchfe^chtiont;;
greifen;trelchell;;
Greifvogel;trelchbrilsk;;
Gremium;frilerrash;;
Grenze;bruklash;;
Grieß;fof;;
Grießbrei;fofkelix;;
Griff;trelchír;;
Grill;gifchr;;
grillen;gifchrell;;
grinsen;dotrushell;;
Grippe;cchork;;
groß;grapt;;
großartig;graptqasht;;
Großauftrag;graptcilwitch;;
